gene,log2FoldChange,pval,padj,-log10(padj)
ENSG00000119632,1.0312993259098258,1.4389417483599772e-32,8.945421202304525e-31,30.04839920551249
ENSG00000180535,3.218017233497268,1.535314550837728e-32,9.388070942007746e-31,30.027423637266235
ENSG00000276043,1.6358414655478133,1.840655111651098e-32,1.107361865557838e-30,29.955710436452552
ENSG00000085840,1.4090622572750593,2.3625042718398685e-32,1.3987525292004302e-30,29.85425911517902
rhinovirus,74.0551181102363,2.525177624851555e-32,1.4271079607115606e-30,29.845543171266744
enterovirus,74.0551181102363,2.525177624851555e-32,1.4271079607115606e-30,29.845543171266744
ENSG00000133106,2.604931344864311,2.487181934642305e-32,1.4271079607115606e-30,29.845543171266744
ENSG00000161888,1.516303532075308,3.720103820856453e-32,2.0710428734021746e-30,29.683810910527477
ENSG00000275221,1.1756472942606702,3.821484429901719e-32,2.0961966064019722e-30,29.678567986444445
ENSG00000158373,1.275047578118567,5.90660219193139e-32,3.192989300855665e-30,29.495802536702374
ENSG00000184270,1.0976606947011003,7.789031612934085e-32,4.1504411308920204e-30,29.381905741714238
ENSG00000171241,1.7538801154907622,8.419007211559897e-32,4.4229432252279456e-30,29.35428863538248
ENSG00000196465,1.1085850199204588,1.050355413558087e-31,5.4414245730162004e-30,29.264287386477058
ENSG00000142945,1.8812709694372332,1.073616564953689e-31,5.485739434626384e-30,29.260764824655553
ENSG00000273802,1.4753032718221697,2.0064375887909103e-31,1.0113530008364993e-29,28.995097232581696
ENSG00000142089,2.6234371517463027,2.4703196059834027e-31,1.2285722840424123e-29,28.910599286365645
ENSG00000004468,1.3772459863013415,2.796077286038974e-31,1.372285299595444e-29,28.862555588950546
ENSG00000266980,1.860714787404816,9.233920839960129e-31,4.47305516013653e-29,28.349395746228147
ENSG00000122952,1.6088232048136641,1.3935571345197786e-30,6.664061681742018e-29,28.17626099180592
rsv,72.49606299212606,1.431503571104547e-30,6.758871291417671e-29,28.170125823708794
ENSG00000276180,1.1418378042998727,2.3685921092474578e-30,1.1043560709366273e-28,27.956890877050213
ENSG00000185909,1.5766998930890677,2.7329154317064486e-30,1.2584906864524757e-28,27.900149994130132
ENSG00000164687,1.0692381058181177,3.4533036676264656e-30,1.570832034176429e-28,27.80387025068899
ENSG00000178999,1.4202602914362963,3.5134316743647235e-30,1.5789277283590866e-28,27.801637748328105
ENSG00000196747,1.6737883867991283,3.681109853082288e-30,1.6345880657139211e-28,27.786591676231797
ENSG00000132465,2.8713148195867655,3.8407826781014795e-30,1.685425810508061e-28,27.773290359604648
ENSG00000211592,2.594530526470048,4.1329548097820926e-30,1.7925490047078144e-28,27.746528962754567
ENSG00000197903,1.0035981183326546,5.9022022699373396e-30,2.5304844214788825e-28,27.596796332011223
ENSG00000275888,1.5269679864333274,7.1215700292307e-30,3.0185745692080125e-28,27.520198091105673
ENSG00000100784,-1.056022537615116,7.657499549427878e-30,3.209266665097302e-28,27.493594194911775
ENSG00000185339,2.1106444508755886,9.013261115294332e-30,3.7354959955608735e-28,27.427651724816812
influenza_a,71.71653543307094,9.602007803870919e-30,3.892987946569405e-28,27.409716940938015
influenza_b,71.71653543307094,9.602007803870919e-30,3.892987946569405e-28,27.409716940938015
ENSG00000203814,1.1864359060435405,1.1522961880211841e-29,4.572409341828741e-28,27.339854896618924
ENSG00000140451,1.1794249714223342,1.1439550707449468e-29,4.572409341828741e-28,27.339854896618924
ENSG00000161643,1.6219640429362998,1.3294360889363276e-29,5.2197859070868445e-28,27.28234730950302
ENSG00000278637,1.3629827261990675,1.3542666867714384e-29,5.261890355893193e-28,27.278858205723267
ENSG00000101412,1.6006164049519238,1.7061909518838422e-29,6.560919845903847e-28,27.18303526794218
ENSG00000160932,2.8081388068243833,3.5184922705180404e-29,1.3391812417379888e-27,26.87316064258464
ENSG00000184678,1.1361117437147856,4.765216108304377e-29,1.79537940242175e-27,26.745843761588738
ENSG00000131153,1.493408940679525,5.173186313834917e-29,1.929598495060424e-27,26.714533048256364
ENSG00000236567,1.0009243334782796,5.391884562277024e-29,1.9912603383458712e-27,26.7008719563886
ENSG00000152207,-1.7869564102217328,6.067157023327726e-29,2.2186760487267074e-27,26.653906104942873
ENSG00000196787,1.2636862655927212,6.572636204269514e-29,2.380187673973329e-27,26.623388798171376
